Company name,Industry group,Country,Full time employees,Risk rating score,Risk rating assessment,Industry group position,Industry group positions total,Universe position,Universe positions total,Company description
"Acadia Healthcare Co., Inc.",Healthcare,United States of America,"17,000",29.5,Medium Risk,400,623,10626,15785,"Acadia Healthcare Co Inc acquires and develops behavioral healthcare facilities in the United States, United Kingdom, and Puerto Rico. Acute inpatient psychiatric facilities and specialty treatment facilities contribute the vast majority of Acadia's revenue in the United States. The U.S. facilities receive the largest proportion of payments from Medicaid, with the second-largest proportion from commercial payors. In the United Kingdom, the majority of Acadia's revenue comes from its healthcare facilities, and virtually all of the payment received is from the National Health Service."
"ACADIA Pharmaceuticals, Inc.",Pharmaceuticals,United States of America,580,33.0,High Risk,651,896,12494,15785,"Acadia Pharmaceuticals Inc is a biotechnology company that develops and commercializes biopharmaceutical products to address central nervous system disorders. The company aims to discover small molecule drugs that address disorders such as Parkinson's, Alzheimer's, and schizophrenia. Acadia also seeks to in-license or acquire complementary products and candidates. The company's patent applications claim proprietary technology, including novel methods of screening and chemical synthetic methods, novel drug targets, and novel compounds identified using its technology."
Acadia Realty Trust,Real Estate,United States of America,115,15.0,Low Risk,360,1044,1666,15785,"Acadia Realty Trust is a real estate investment trust which specializes in the operation, management, leasing, renovation, and acquisition of shopping centers and mixed-use properties with retail components. The company's portfolios are located primarily in metropolitan areas of the United States. The company operates through three segments: core portfolio, which consists primarily of high-quality retail properties located primarily in high-barrier-to-entry, densely-populated metropolitan areas with a long-term investment horizon and generates the majority of total revenue; funds, which comprises the funds launched by the trust; and structured financing, which consists of notes receivable and related interest income."
"AcBel Polytech, Inc.",Electrical Equipment,Taiwan,"10,752",20.0,Low Risk,51,283,4389,15785,"AcBel Polytech Inc is a Taiwanese technological company that develops, manufactures, and sells power-management solutions globally. The company offers a wide range of custom-designed power supplies, ranging from 3W up to 10,000W per power module, to meet clients' needs in industries like information technology, communication, consumer electronics, networks, and industrial automation. The company has sales offices in China, Japan, the U.S., and the U.K. Its manufacturing units are in Taiwan, China, and the Philippines."
ACC Ltd.,Construction Materials,India,"5,472",29.3,Medium Risk,33,142,10551,15785,"ACC Ltd manufactures and sells cement, concrete, and cement-related products under the ACC brand. The firm operates in two segments based on the product: Cement and Ready Mix Concrete. The Cement segment, which generates the vast majority of revenue, sells cement to the construction and building industries as well as home improvement retailers. The Ready Mix Concrete segment sells concrete for infrastructure, industrial construction, and mass housing projects. Nearly all of the firm's revenue comes from India."
"Accel Entertainment, Inc.",Media,United States of America,"1,300",19.5,Low Risk,218,294,4140,15785,"Accel Entertainment Inc is a distributed gaming operator in the United States. It is engaged in the installation, maintenance, and operation of video gaming terminals. The company offers products to restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. It operates slot machines and amusement equipment. The company generates a majority of its revenue from net gaming. Net gaming revenue represents net cash received from gaming activities, which is the difference between gaming wins and losses. Net gaming revenue includes the amounts earned by location partners and is recognized at the time of gaming play."
"Accelink Technologies Co., Ltd.",Technology Hardware,China,"4,279",21.4,Medium Risk,435,652,5281,15785,"Accelink Technologies Co Ltd is an optoelectronic device company in China. Its develop optoelectronic devices. Its main products include optical amplifiers, wavelength division multiplexers, optical switches, optical fiber couplers, and optical fiber connectors, among others."
Accelleron Industries AG,Machinery,Switzerland,N/A,26.6,Medium Risk,206,585,8762,15785,"Accelleron Industries AG develop, produce and service turbochargers and digital solutions that make engines powerful and efficient. The company's solutions and services include Marine, Power, Oil & Gas, Rail. Its advanced products are used in a wide range of sectors including marine, energy and rail. The Company operates the business in the global turbocharger market for heavy duty 500 kilowatts and higher applications in two operating segments which are High Speed: which produces and services turbochargers with power outputs ranging from 500 to 5,000 kilowatts. High Speed turbochargers are used mainly in marine, electric power generation, oil & gas onshore and off-highway sites.Medium & Low Speed: produces and services turbochargers with power outputs from 3,000 to 30,000 kilowatts."
Accent Group Ltd.,Retailing,Australia,"2,180",16.5,Low Risk,169,507,2358,15785,"Accent Group is a retailer and wholesaler of footwear and apparel. It is the exclusive distributor of range of global brands, including Skechers, Vans, and Doctor Martens in Australia and New Zealand. Accent operates both monobranded stores and multibrand banners, such as Platypus, Hype DC, and The Athlete’s Foot. With a network of more than 700 physical stores and 30 websites, Accent is the largest footwear retailer in Australia."
Accenture Plc,Software & Services,Ireland,"733,000",9.8,Negligible Risk,4,1106,275,15785,"Accenture is a leading global IT-services firm that provides consulting, strategy, and technology and operational services. These services run the gamut from aiding enterprises with digital transformation to procurement services to software system integration. The company provides its IT offerings to a variety of sectors, including communications, media and technology, financial services, health and public services, consumer products, and resources. Accenture employs just under 500,000 people throughout 200 cities in 51 countries."
Accès Recherche Montréal LP,Healthcare,Canada,N/A,34.9,High Risk,575,623,13219,15785,"Acces Recherche Montreal LP is a subsidiary of The University of Montreal Hospital Center that offers healthcare facilities to the people in Quebec, Canada. This company manages a research center of the University of Montreal Hospital Center."
Access Bank Plc,Banks,Nigeria,"6,900",36.6,High Risk,989,1014,13822,15785,"Access Bank PLC is a full-service commercial bank based in Nigeria. It serves primarily through four market segments, namely Retail Banking, Business Banking, Commercial Banking, and Corporate and Investment Banking. The Commercial Banking segment provides commercial banking products and services to the non-institutional clients, medium and small corporate segments of the Nigerian market. Corporate & investment banking provides bespoke comprehensive banking products and a full range of services to multinationals, large domestic corporations, and other institutional clients. Retail banking provides financial products and services to individuals and the private banking segment. It has three geographical segments, which include Nigeria, the Rest of Africa, and Europe."
Access Prairies Partnership,Construction & Engineering,Canada,N/A,45.7,Severe Risk,300,353,15189,15785,N/A
Acciona SA,Utilities,Spain,"53,847",17.8,Low Risk,60,704,3022,15785,"Acciona SA is an engineering and construction firm providing sustainable solutions for infrastructure and renewable energy projects across the world. It works in various phases, from design and construction to operations and maintenance. The company operates two business divisions energy and infrastructure. The infrastructure division encompasses construction, water treatment, industrial, and service business lines. Projects may be granted under concessions from governments or acquired independently when Acciona identifies an opportunity. Energy developments focus on renewable technologies and primarily revolve around wind, solar, hydro, and biomass. The company has a presence on five continents and utilizes an organizational structure to ensure availability."
ACCO Brands Corp.,Commercial Services,United States of America,"6,000",7.5,Negligible Risk,9,458,74,15785,"ACCO Brands Corp designs, manufactures, and markets consumer and business products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company offers school notebooks, janitorial supplies, and whiteboards; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes, and punching products; computer accessories and others used in schools, homes, and businesses. It offers its products primarily under the AT-A-GLANCE, Five Star, GBC, Hilroy, Kensington, Quartet, Leitz, NOBO, Rapid, Rexel, Tilibra, and Wilson Jones brands. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, and variety chains; and warehouse clubs."
"Accolade, Inc.",Healthcare,United States of America,"2,370",20.6,Medium Risk,156,623,4736,15785,"Accolade Inc offers technology-enabled solutions that help people better understand, navigate, and utilize the healthcare system and their workplace benefits. It generates revenue by providing personalized health guidance solutions to members."
Accor SA,Consumer Services,France,"186,084",18.1,Low Risk,123,509,3186,15785,"Accor operates 812,425 rooms across 46 brands addressing the economy through luxury segments, as of Sept. 30, 2023. Ibis (economy scale) is the largest brand (37% of total rooms at the end of 2022), followed by mid scale brands Mercure (16%) and Novotel (14%). FRHI offers additional luxury and North American exposure. After the sale of the majority of HotelInvest (owned assets) in 2018-19, the majority of total EBITDA comes from asset-light managed and franchised hotels. Northern Europe represents 21% of rooms, Southern Europe 23%, Asia-Pacific region 32%, Americas 12%, and India, Middle East, and Africa 12%. Premium, midscale, and economy are 86% of total rooms, while luxury and lifestyle are the remaining 14%."
Accton Technology Corp.,Technology Hardware,Taiwan,"4,495",20.1,Medium Risk,390,652,4500,15785,"Accton Technology Corp develops, manufactures and sells innovative high-quality products for computer network systems and wireless land area network (LAN) hardware and software products and renders related technical consulting and engineering design services. The products and services offered by the company is Switch, Network Application, Metro Access Switch, Other and Wireless. Roughly half of the firm's revenue is generated in the United States, with the rest coming from Taiwan, the rest of Asia, Europe, and other regions."
Ace Technologies Corp.,Technology Hardware,South Korea,146,25.0,Medium Risk,558,652,7739,15785,"Ace Technologies Corp is a South Korea based company engages in the manufacturing of wireless communication RF equipment and antennas. Its main products include base-station RF components, such as base station antennas, filters, radio's for telecoms (RRH) and other markets; mobile antennas, and RF connectors."
Acea SpA,Utilities,Italy,"10,402",20.0,Medium Risk,93,704,4445,15785,"ACEA SpA is an Italian-based electricity and water utility company. It operates chiefly in Rome and other cities in Lazio, a central Italian region. With the help of its various subsidiaries and numerous ventures, Acea produces and sells energy, utilities, and environmental products and services. The company derives a majority of its revenue from its water segment (drinking water and sewage system), with additional revenue coming from its energy (electricity and natural gas), networks (distribution services), and environmental (research and development and consultancy services) segments."
ACEN Corp.,Utilities,Philippines,207,36.4,High Risk,480,704,13746,15785,"ACEN Corp is a Philippines-based energy provider. The company is mainly involved in the business of Renewables and Thermal energy. It also holds interests in the business of oil and gas exploration and production. The company operates in three segments: The Philippines segment, the International segment, and the Parent and Others segment The Philippines segment, which accounts for the vast majority of its revenue, is into Retail Electricity Supply, Renewables - generation, transmission, distribution, and supply of electricity using renewable sources, Thermal - generation, transmission, distribution, and supply of electricity using the conventional way of energy generation, Project development, Leasing, bulk water supply, and Petroleum and exploration."
"Acer, Inc.",Technology Hardware,Taiwan,"2,074",14.7,Low Risk,186,652,1566,15785,"Acer Inc is a hardware and electronics company specializing in advanced electronics technology. Its products are sold under three brands: Acer, Gateway, and Packard Bell. It include desktop PCs, clamshell laptops, 2-in-1 laptops, convertible laptops, Chromebooks, tablets, servers, storage devices, virtual reality devices, displays, smartphones, and peripherals. A large majority of the firm's revenue is derived from personal computers and the rest from peripherals and other products. The firm generates revenue in the Americas, Mainland China, Taiwan, and other countries across the world."
Acerinox SA,Steel,Spain,"8,298",29.5,Medium Risk,18,159,10670,15785,"Acerinox SA is a Spain-based stainless steel maker engaged in the manufacture, processing, and marketing of stainless steel products and special alloys. The company operates in two segments; the Stainless steel segment which accounts for the majority of the company's revenue, includes both flat and long stainless steel products, and the High-performance alloys segment includes special alloys with high nickel content. This segment includes all the companies in the VDM Metals subgroup. Geographically the company operates in Spain, the Rest of Europe, America, Africa, Asia, and Others."
Achilles Corp.,Chemicals,Japan,"1,649",30.5,High Risk,268,569,11244,15785,"Achilles Corp engages in the manufacture and sale of shoes, plastic products, and industrial materials. It operates through the following segments: Shoes, Plastic, and Industrial Materials. The Shoe segment is involved in the production and sale of shoes. The Plastic segment includes automotive interior materials, floor and wall coverings, films, inflatable boards, and rubberized fabric. The Industrial Materials segment provides urethane, heat insulation products, industrial materials, and shock absorbers."
Achmea BV,Insurance,Netherlands,N/A,19.4,Low Risk,61,303,4091,15785,"Achmea BV is a financial services provider with insurance activities in the field of non-life, health, income and life. Furthermore, it offers banking services, asset management and pension management services, and other services."
"ACI Worldwide, Inc.",Software & Services,United States of America,"3,349",22.4,Medium Risk,531,1106,5961,15785,"ACI Worldwide Inc develops, markets, and installs a portfolio of software products primarily focused on facilitating electronic payments. The firm also leverages its distribution network in the Americas; Europe, the Middle East, and Africa, or EMEA; and Asia-Pacific regions to sell software developed by third parties. ACI software products process payment transactions for retail banking clients, billers such as utilities and healthcare providers, and community banks and credit unions. ACI's customers are financial institutions all over the world, but most of the revenue is generated in the United States and EMEA regions."
Ackermans & van Haaren NV,Diversified Financials,Belgium,"21,453",7.9,Negligible Risk,5,912,94,15785,"Ackermans & Van Haaren NV is a global investment company with five core business segments, including Marine Engineering and Contracting, Private Banking, Real Estate and Senior Care, Energy and resources, and AvH and Growth Capital. The company has a long-term, activist orientation focused on making investments in growth companies with international exposure. A plurality of its net profit mix is derived from its Marine Engineering & Contracting segment, followed closely by its Private Banking & real estate and senior care division."
"Aclaris Therapeutics, Inc.",Pharmaceuticals,United States of America,100,32.7,High Risk,631,896,12350,15785,"Aclaris Therapeutics Inc is a clinical-stage biopharmaceutical company that operates in the United States. It focuses on developing novel drug candidates for immuno-inflammatory diseases. The company operates in two segments: therapeutics and contract research. The therapeutics segment is focused on identifying and developing innovative therapies to address significant unmet needs for immuno-inflammatory diseases. The contract research segment earns revenue from the provision of laboratory services. The majority of its revenue comes from the contract research segment, which provides laboratory services. Its drug candidates under development are Zunsemetinib, which is an Oral MK2 Inhibitor; ATI-2138 is an ITJ Inhibitor; and ATI-1777."
"ACM Research (Shanghai), Inc.",Machinery,China,"1,199",31.3,High Risk,378,585,11718,15785,"ACM Research (Shanghai) Inc is engaged in manufacturing and distribution of semiconductor devices. The company produces semiconductor electroplating equipment, advanced packaging wet equipment, semiconductor cleaning equipment, and other equipment."
"ACM Research, Inc.",Machinery,United States of America,"1,209",32.1,High Risk,393,585,12038,15785,"ACM Research Inc is an us-based company. It is engaged in developing, manufacturing, and selling single-wafer wet cleaning equipment, which is used by semiconductor manufacturers in numerous manufacturing steps to remove particles, contaminants, and other random defects to improve product yield, in fabricating integrated circuits, or chips. The company offers space alternated phase shift which employs alternating phases of megasonic waves to deliver megasonic energy to flat and patterned wafer surfaces on a microscopic level; and Timely Energized Bubble Oscillation technology which provides effective, damage-free cleaning for both conventional two and three-dimensional patterned wafers at process nodes."
ACNB Corp.,Banks,United States of America,397,30.6,High Risk,800,1014,11305,15785,"ACNB Corp provides banking, insurance, and financial services to businesses and consumers, through its wholly-owned subsidiaries, ACNB Bank and ACNB Insurance Services, Inc. The corporation has two reporting segments, the Bank and ACNB Insurance Services. ACNB Insurance Services is managed separately from the Banking segment, which includes the Bank and related financial services that the corporation offers through its banking subsidiary. ACNB Insurance Services, Inc. offers a broad range of property and casualty, life, and health insurance to both commercial and individual clients. The corporation's primary source of revenue is interest income on loans and investment securities and fee income on its products and services."
"ACOM Co., Ltd.",Diversified Financials,Japan,"5,333",23.3,Medium Risk,264,912,6544,15785,"Acom Co Ltd is a Japanese consumer finance company. Its four core business categories are loan and credit, guarantee services, loan servicing, and overseas financials. Its loan and credit business offers credit cards and unsecured loans. The guarantee segment provides credit guarantee services, including loan portfolios and marketing analyses. The firm also offers loan administrative services in its loan servicing segment. Acom's overseas businesses are mostly in the retail finance sector in Thailand and Indonesia. In addition to ATMs, Acom's distribution relies on multifaceted sales channels, including a call center, Internet services, and mobile phones. The company earns its revenue from its loan and credit card business in Japan."
ACOMO NV,Food Retailers,Netherlands,"1,109",13.3,Low Risk,8,194,1033,15785,"Acomo NV is a holding company of an international group of companies. It is involved in the business of sourcing, processing, trading, packaging, and distribution of conventional and organic food ingredients and solutions for the food and beverage industry. It operates in five segments: Spices and Nuts, Edible seeds, Tea, Food ingredients, and Organic Ingredients."
Acrinova AB,Real Estate,Sweden,12,23.1,Medium Risk,891,1044,6387,15785,"Acrinova AB is a real estate company active in property development and management. The portfolio includes commercial premises, logistics properties, residential and commercial properties. The company acquires, develops and manages its properties. The company is also particularly active in new construction."
Acron PJSC,Chemicals,Russian Federation,"11,429",54.1,Severe Risk,568,569,15653,15785,"Acron PJSC is a Russian fertilizer producer and distributer to the agricultural industry globally. The company's segments are organized based on activity. Its segments include Acron (chemical production), Dorogobuzh (chemical production), logistics, trading, mining, and others. The company generates the vast majority of revenue through its trading and chemical production businesses. Through its large distribution and logistics activities, the company generates revenue in over 75 countries, with its largest markets being Latin America, Europe, and Russia."
ACS Actividades de Construcción y Servicios SA,Construction & Engineering,Spain,"132,118",30.8,High Risk,67,353,11407,15785,"ACS Actividades de Construccion y Servicios SA completes construction and service activities for infrastructure and energy projects. In addition to infrastructure-related developments, the company constructs buildings and projects related to the mining sector. It has four operating segments: construction (majority of total revenue), Concessions, Services (which offers comprehensive maintenance services for buildings, public places and organisations) and corporate. Its services revolve around industrial engineering and operating energy, industrial, and mobility infrastructures. Additional sales are generated from aftermarket services and contracts to perform upkeep on existing structures. Approximately half of total revenue derives from the Americas."
Acter Group Corp. Ltd.,Construction & Engineering,Taiwan,933,28.4,Medium Risk,40,353,9989,15785,"Acter Group Corp Ltd Formerly Acter Co Ltd is a Taiwan-based engineering and construction company. It is engaged in providing construction, design, and maintenance services related to air conditioners, environmental control services, clean room set-up, ice water machine trading, energy-storing equipment trading, ventilation engineering, and energy technology services. The company's geographical segments include Taiwan, Mainland China, and other Asian countries. It generates maximum revenue from Taiwan, which provides engineering services and sales."
Actic Group AB,Consumer Services,Sweden,524,32.0,High Risk,397,509,12014,15785,"Actic Group AB is a health and fitness club operator with a focus on Sweden, Norway and Germany, and presence in Finland and Austria. The company provides access to fitness clubs, personal trainers, group training and swimming. It also offers energy bars and drinks, training clothes, and other training products through online web shops."
Action Construction Equipment Ltd.,Machinery,India,"1,184",31.2,High Risk,369,585,11612,15785,"Action Construction Equipment Ltd is engaged in manufacturing material handling and construction equipment. The company operates in four business segments that are Cranes, Construction Equipment, Material Handling, and Agri Equipment. The product portfolio of the company consists of the mobile crane, tower crane, crawler crane, backhoe and ladder, road equipment, and the forklift truck. Most of the firm's revenue gets derived from the Cranes segment."
Action Logement Immobilier SASU,Real Estate,France,N/A,22.5,Medium Risk,872,1044,6056,15785,Action Logement Immobilier SAS is a key player in the French social housing sector. Action Logement Immobilier SAS through its subsidiaries. It is a social housing player in France.
Active Biotech AB,Pharmaceuticals,Sweden,8,28.1,Medium Risk,398,896,9808,15785,"Active Biotech AB focuses on the research and development of pharmaceuticals products within medical areas including neurodegenerative diseases, autoimmune/inflammatory disease and various forms of cancer. Its project portfolio contains both small molecules that are orally active immunomodulatory agents and antibody based immunotherapy."
"Activia Properties, Inc.",Real Estate,Japan,N/A,12.7,Low Risk,210,1044,843,15785,"Activia Properties Inc, or API, is a Japanese real estate investment trust principally involved in the ownership of properties in the Greater Tokyo area. Most of these properties are either urban retail units near major train stations, corporate office properties, or other popular areas in Tokyo. API derives the vast majority of its income in the form of rental revenue from its real estate holdings. Its urban retail properties encompass the larger overall share of these holdings. The company’s major tenants include the Tokyu Land Corporation, a Japanese railway operator. Tokyu Land Corp is also the controlling shareholder of the firm that works with Activia through an asset management agreement, TLC Activia Investment Management Inc."
"Activision Blizzard, Inc.",Software & Services,United States of America,"13,000",18.5,Low Risk,244,1106,3460,15785,"Activision Blizzard was formed in 2008 by the merger of Activision, one of the largest console video game publishers, and Blizzard, one of largest PC video game publishers. The combined firm remains one of the world's largest video game publishers. Activision's impressive franchise portfolio includes World of Warcraft, which boasts more than $8 billion of lifetime sales, and Call of Duty, which has sold over 175 million copies across 14 titles over 12 years."
"Acuity Brands Lighting, Inc.",Electrical Equipment,United States of America,N/A,18.3,Low Risk,36,283,3355,15785,"Acuity Brands Lighting Inc engaged in providing lighting products for commercial, institutional, industrial, and residential applications. These products include luminaires, lighting controls, lighting components, and integrated lighting systems that use a combination of light sources. Customers include electrical distributors, electric utilities, retail home improvement centers, and lighting showrooms."
"Acuity Brands, Inc.",Electrical Equipment,United States of America,"12,200",19.4,Low Risk,44,283,4106,15785,"Acuity Brands Inc is the parent company of Acuity Brands Lighting and other subsidiaries, which provide lighting products for commercial, institutional, industrial, and residential applications. These products include luminaires, lighting controls, lighting components, and integrated lighting systems that use a combination of light sources. Customers include electrical distributors, electric utilities, retail home improvement centers, and lighting showrooms. A majority of the firms' revenue is generated in the United States."
Acushnet Holdings Corp.,Consumer Durables,United States of America,"7,300",10.7,Low Risk,11,229,388,15785,"Acushnet Holdings Corp is engaged in the design, development, manufacture, and distribution of golf products. Its product category includes golf balls, golf shoes, golf clubs, wedges, putters, golf gloves, golf gear and golf wear, of which key revenue is derived from the sales of golf balls and golf gloves. The operating segments of the company are Titleist golf balls, Titleist golf clubs, Titleist golf gear and FootJoy golf wear. The company operates in the United States, EMEA, Japan, Korea and other countries, of which a majority of the revenue is generated from the operations in the United States."
ACWA Power Co.,Utilities,Saudi Arabia,N/A,36.9,High Risk,503,704,13906,15785,"ACWA Power Co is engaged in the development, investment, operation, and maintenance of power generation, water desalination and green hydrogen production plants and bulk sale of electricity. The company's segments include Thermal and Water Desalination; Renewables and others. It generates maximum revenue from the Thermal and Water Desalination segment."
ADAMA Ltd.,Chemicals,China,"9,208",35.9,High Risk,421,569,13526,15785,"Adama Ltd produces farm chemicals for crop protection. It operates in two segments: Crop Protection and Intermediates & ingredients. The Crop Protection segment includes the manufacture and marketing of conventional agrochemical products and operations in the seeds sector. The intermediates & ingredients segment includes a large number of sub-fields, including Lycopan (an oxidization retardant), aromatic products, and other chemicals. The firm generates the vast majority of its revenue from the Crop Protection segment. Its geographical segments are Europe; Latin America; North America; Africa, Middle East, and India; and the Asia Pacific."
Adani Electricity Mumbai Ltd.,Utilities,India,N/A,25.3,Medium Risk,208,704,7979,15785,"Adani Electricity Mumbai Ltd is an integrated business of Power Generation, Transmission and Retail Electricity Distribution. It serves over three million consumers spread across 400 sq. kms in Mumbai and its suburbs with 99.99% reliability."
Adani Energy Solutions Ltd.,Utilities,India,"5,002",31.5,High Risk,358,704,11787,15785,Adani Energy Solutions Ltd Formerly Adani Transmission Ltd is a power transmission company in India. It is involved in the business activity of transmission of electric energy. The company is also engaged in the trading of Agri commodities business. The operating segments of the company are the Transmission segment which involves power transmission activities; the Trading segment; Mumbai GTD Business. It derives a majority of revenue from the Mumbai GTD Business segment. The company operates in India.
Adani Enterprises Ltd.,Traders & Distributors,India,"6,647",34.3,High Risk,204,204,12968,15785,Adani Enterprises Ltd is a holding company. The company's segment includes Integrated Resources Management; Mining; New Energy Ecosystem; Road: Airport and others. It generates maximum revenue from the Integrated Resources Management segment.
Adani Green Energy Ltd.,Utilities,India,"1,436",14.4,Low Risk,32,704,1447,15785,"Adani Green Energy Ltd is engaged in Power Generation and Construction Contracts. It builds, owns, and operates power plants powered by renewable sources of energy like solar and wind. The company derives its income from Power Supply."
Adani Ports & Special Economic Zone Ltd.,Transportation Infrastructure,India,"2,959",12.7,Low Risk,43,187,834,15785,"Adani Ports & Special Economic Zone Ltd is a port infrastructure company domiciled in India. The company owns, operates, develops, and maintains port terminals and port infrastructure in India, including operating and developing infrastructure at the Special Economic Zone in Mundra. Adani Ports & Special Economic Zone also owns and operates a private railway to transport container cargo, and provides storage, handling, and other logistics services. It has one business segment, namely developing, operating and maintaining the ports services, ports-related Infrastructure development activities and development of infrastructure at contiguous Special Economic Zone at Mundra. The company generates the vast majority of revenue domestically."
Adani Power Ltd.,Utilities,India,"3,541",36.6,High Risk,489,704,13812,15785,"Adani Power Ltd is an electric utility company that produces and transmits energy from its portfolio of power plants located throughout India. The company produces its energy using thermal fuel sources, such as coal but also owns facilities that utilize solar and steam generation. Adani Power generates the vast majority of its revenue through the sale of electricity to state distribution companies and the transmission of energy to the state and central utilities. The company's electricity sales are structured through long-term agreements. Adani Power is India's private power producer, owns the world's private coal-based power plant, and is a part of the conglomerate that is India's coal importer."
Adani Total Gas Ltd.,Utilities,India,550,23.9,Medium Risk,178,704,6962,15785,"Adani Total Gas Ltd is developing City Gas Distribution (CGD) Networks to supply the Piped Natural Gas (PNG) to the Industrial, Commercial, Domestic (residential) and Compressed Natural Gas (CNG) to the transport sector. Geographically, the group has set up gas distribution networks in Ahmedabad and Vadodara in Gujarat, Faridabad in Haryana and Khurja in Uttar Pradesh."
Adani Wilmar Ltd.,Food Products,India,"2,600",33.1,High Risk,299,628,12499,15785,"Adani Wilmar Ltd is an FMCG food company offering most of the essential kitchen commodities for Indian consumers, including edible oil, wheat flour, rice, pulses, and sugar. The company also offers a diverse range of industry essentials, including oleochemicals, castor oil and its derivatives, and de-oiled cakes. The company's products are offered under a diverse range of brands across a broad price spectrum and cater to different customer groups. The company sells its entire range of packed products under the following brands: Fortune, King’s, Raag, Bullet, Fryola, Jubilee, Aadhaar, and VIVO."
adapa Holding GesmbH,Containers & Packaging,Austria,N/A,12.7,Low Risk,10,105,857,15785,N/A
AdaptHealth Corp.,Healthcare,United States of America,"10,900",32.8,High Risk,510,623,12354,15785,"AdaptHealth Corp is engaged in providing patient-centered, healthcare-at-home solutions including home medical equipment (HME), medical supplies, and related services. It focuses on providing; sleep therapy equipment, supplies, and related services (including CPAP and bi-PAP services) to individuals suffering from obstructive sleep apnea (OSA), medical devices and supplies to patients for the treatment of diabetes (including continuous glucose monitors (CGM and insulin pumps), home medical equipment to patients discharged from acute care and other facilities, oxygen and related chronic therapy services in the home, and other HME devices and supplies on behalf of chronically ill patients with wound care, urological, incontinence, ostomy and nutritional supply needs."
Adaptive Biotechnologies Corp.,Pharmaceuticals,United States of America,790,18.9,Low Risk,60,896,3741,15785,"Adaptive Biotechnologies Corp is a company advancing the field of immune-driven medicine by harnessing the inherent biology of the adaptive immune system to transform the diagnosis and treatment of disease. Its clinical diagnostic product, clonoSEQ, is test authorized by the FDA for the detection and monitoring of minimal residual disease (“MRD”) in patients with multiple myeloma (“MM”), B cell acute lymphoblastic leukemia (“ALL”) and chronic lymphocytic leukemia (“CLL”) and is also available as a CLIA-validated laboratory developed test (“LDT”) for patients with other lymphoid cancers, including diffuse large B-cell lymphoma (“DLBCL”)."
"Adastria Co., Ltd.",Retailing,Japan,"6,356",19.7,Low Risk,299,507,4225,15785,"Adastria Co Ltd is a manufacturer and retailer of clothing, bags, shoes, kitchen goods, furniture, and accessories with over a thousand stores in Asia. Its many retail brands span from targeting teenagers to middle-aged adults and from high-priced to mass-market goods. Its biggest brands include Lepsim, studio CLIP, niko and, Global Work, Heather, Jeanasis, Rageblue, and Lowrys Farm. The vast majority of Adastria's revenue and store locations are in Japan. Other Asian markets include Hong Kong, China, Taiwan, South Korea, and Singapore."
"ADATA Technology Co., Ltd.",Semiconductors,Taiwan,"1,535",38.2,High Risk,297,344,14203,15785,"AData Technology Co Ltd is a Taiwan-based company involved in the electronic components business. It operates in two segments: Electronics, which is engaged in R&D, manufacturing, and selling of memory modules, flash memory, and computer peripherals; and Biotech segment is selling of biotechnological products. The most of its revenue comes from the Electronics segment. Its products are applied in computers, digital cameras, set-top boxes, liquid crystal display monitors, mainboards, servers, printers, medial players, televisions, and game consoles, and among others."
ADBRI Ltd.,Construction Materials,Australia,"1,500",35.9,High Risk,69,142,13536,15785,"Adbri specializes in the production and supply of construction materials, including cement, lime, concrete, aggregates, and masonry, from a nationwide network of plants and quarries. Selling about five million metric tons of cement per year and almost one million metric tons of lime, Adbri is the second-largest cement producer and largest lime producer in Australia, with a focus on customers in the residential construction, infrastructure, and mining sectors."
Adcock Ingram Holdings Ltd.,Pharmaceuticals,South Africa,"2,549",31.8,High Risk,590,896,11898,15785,"Adcock Ingram Holdings Ltd is a drug manufacturing company. The company manufactures, markets, and distributes a wide range of healthcare products. The company generates roughly two-thirds of its sales from the private sector, with the remaining from the public sector. Adcock operates in four broad areas: renal disease, medicine delivery, transfusion therapies, and blood and specialized pharmaceuticals. The company generates the vast majority of its revenue in southern Africa, followed by the rest of Africa and India."
"ADDCN Technology Co., Ltd.",Software & Services,Taiwan,148,23.8,Medium Risk,679,1106,6880,15785,"Addcn Technology Co Ltd operates an Internet trading platform and online apparel retail businesses. The company operates www.8591.com.tw, a game item trading platform; www.591.com.tw, a housing leasing network; www.8891.com.tw, a used car trading network, and an HR channel for small and middle enterprises platform, a part-time job APP platform and a platform for interior design. Geographically, it derives a majority of its revenue from Taiwan."
AddLife AB,Pharmaceuticals,Sweden,"2,314",15.3,Low Risk,18,896,1822,15785,"AddLife AB is engaged in the business of providing products, services, and advisory services. The company operates in Labtech and Medtech segments. The Labtech segment, which accounts for the majority of the company revenue, provides analytical instruments, equipment, microscopes, consumables, and reagents, as well as software support and technical service. The Medtech segment includes products related to surgery, thoracic medicine, neurology, wound care, anesthesia, intensive care, ear, nose and throat, ostomies, and home healthcare. AddLife mainly caters to hospitals & laboratories within healthcare, research, colleges, and universities, as well as the food and pharmaceutical industries. Its geographical segments are Sweden, Denmark, Finland, Norway, and Other countries."
